Catalog No	Item Name	Vendor Name
EC6068BOX	Novex 6 % Tris-Glycine Mini Protein gels; 1.5 mm; 10 well	Life Technologies
EA0355BOX	Novex 7 % Tris-Acetate Protein gels; 1.0 mm; 10 well	Life Technologies
EA03552BOX	Novex 7 % Tris-Acetate Protein gels; 1.0 mm; 12 well	Life Technologies
NP0005	NuPAGE Antioxidant	Life Technologies
18418-012	Oligo(dT)12-18 Primer	Life Technologies
C4040-03	One Shot TOP10 Chemically Competent E. Coli	Life Technologies
C7373-03	One-shot Stbl3 Chemically Competent E. Coli	Life Technologies
AM9730	Phenol:ChCI3:IAA; 25:24:1; pH 6.6	Life Technologies
11708-013	Platinum PFx DNA Polymerase	Life Technologies
11708-021	Platinum PFx DNA Polymerase	Life Technologies
4367659	Power SYBR green PCR Master Mix	Life Technologies
P36934	ProLong gold Antifade Reagent	Life Technologies
P36935	ProLong gold Antifade Reagent with DAPI	Life Technologies
11875-119	RPMI (1640 Medium)	Life Technologies
15544-034	S.O.C. (SOC) Medium	Life Technologies
EI9052	Sponge Pad for Blotting (8)	Life Technologies
18265-017	Subcloning Efficiency DH5-alpha Competent Cells	Life Technologies
11904-018	Superscript First Strand Synthesis System for RT-PCR	Life Technologies
18064-014	Superscript II Reverse Transcriptase	Life Technologies
10342-046	TAQ DNA Polymerase	Life Technologies
K4575-J10	TOPO TA Cloning Kit for Sequencing with One Shot TOP10 Chemically Competent E. coli	Life Technologies
15596-018	TRIzol Reagent	Life Technologies
15513-039	Ultra Pure Buffer-Saturated Phenol	Life Technologies
K2875-20	Zero Blunt TOPO PCR Cloning Kit for Sequencing with One Shot TOP10 Chemically Competent E. coli	Life Technologies
130-047-101	Anti-mouse IgG1 Mircrobeads (rat)	Miltenyi Biotec
130-050-201	CD14 Microbeads (human)	Miltenyi Biotec
130-042-901	MACS LD Separation Columns	Miltenyi Biotec
130-042-401	MACS LS Separation Columns	Miltenyi Biotec
130-090-862	Mouse B Cell Isolation kit	Miltenyi Biotec
P0753S	Lambda Phosphatase	New England Biolabs
XP04200BOX	Novex 4-20% Tris-Glycine Mini Protein gels; 1.5 mm; 10 well	Novex
XP04122BOX	Novex WedgeWell 4-12% Tris-Glycine Mini Gels, 12-well	Novex
FP1135	1Xplus Amplification Diluent	PerkinElmer
BLU502Z500UC	ATP, [a-32P]- 6000Ci/mmol 10 mCi/mL EasyTide	PerkinElmer
6NE9422	COUNT-OFF liquid Concentrate	PerkinElmer
BLU513H001MC	dCTP, [alpha-P32]- 3000Ci/mmol 10 mCi/mL EasyTide	PerkinElmer
BLU513H250UC	dCTP, [alpha-P32]- 3000Ci/mmol 10 mCi/mL EasyTide	PerkinElmer
NEL741001KT	TSA Plus Fluorescein System	PerkinElmer
69506	Dneasy Blood & Tissue Kit (250)	QIAGEN
12643	HiSpeed Plasmid Midi Kit (25)	QIAGEN
12462	QIAGEN Large-Construct Kit (10)	QIAGEN
12163	QIAGEN Plasmid Maxi Kit (25)	QIAGEN
27106	QIAprep Spin Miniprep Kit (250)	QIAGEN
28706	QIAquick gel Extraction Kit (250)	QIAGEN
28106	QIAquick PCR Purification Kit (250)	QIAGEN
28104	QIAquick PCR Purification Kit (50)	QIAGEN
150025	REPLI-g Mini Kit (100)	QIAGEN
74104	RNeasy Mini Kit (50)	QIAGEN
11867423001	Anti-HA (rat)	Roche
11836170001	complete; Mini; EDTA-free Protease Inhibitor Cocktail Tablets	Roche
5420083103	Expand long Template Buffer 3	Roche
10843555001	Hygromycin B	Roche
11332473001	Nonidet P40	Roche
3115852001	Proteinase K	Roche
11635379001	Rapid DNA ligation Kit	Roche
sc-368	BCL6 Antibody (C-19)	Santa Cruz
sc-7388	BCL6 Antibody (D-8)	Santa Cruz
sc-858	BCL6 Antibody (N-3)	Santa Cruz
sc-9104	Beta-Tubulin Antibody (H-235)	Santa Cruz
sc-40	c-Myc Antibody (9E10)	Santa Cruz
sc-42	c-Myc Antibody (C-33)	Santa Cruz
SC-764	c-Myc Antibody (N-262)	Santa Cruz
sc-369	CBP Antibody (A-22)	Santa Cruz
sc-583	CBP Antibody (C-20)	Santa Cruz
sc-11350	FKHR Antibody (H-128)	Santa Cruz
sc-6058	ICSBP Antibody (C-19)	Santa Cruz
sc-6059	IRF4 Antibody (M-17)	Santa Cruz
sc-197	Max Antibody (C-17)	Santa Cruz
sc-34161	MPO heavy chain Antibody (M-17)	Santa Cruz
sc-298	NfkB p52 Antibody (K-27)	Santa Cruz
SC-8000-R	p-c-Myc (Thr 58/Ser 62) Antibody	Santa Cruz
sc-1974	PAX5 Antibody (C-20)	Santa Cruz
sc-273x	TFIID (TBP) (SI-1) X	Santa Cruz
F5513-50EA	20.3 cm x 25.4 cm BioMax xAR Film	Sigma Aldrich
F4799-4MG	3x FLAG Peptide	Sigma Aldrich
E2758-1G	Beta-Estradiol	Sigma Aldrich
A7906-100G	Bovine Serum Albumin	Sigma Aldrich
D1626-250MG	Deoxyribonucleic acid sodium salt from salmon testes	Sigma Aldrich
D9891-25G	Doxycycline Hyclate	Sigma Aldrich
E3889-100G	Ethylene glycol-bis(2-aminoethylether)-N; N; N'; N'-tetraacetic acid	Sigma Aldrich
E6654-1ML	Ezview Red Anti-c-Myc Affinity Gel	Sigma Aldrich
F2426-1ML	EZview Red ANTI-FLAG M2 Affinity Gel	Sigma Aldrich
E6779-ML	EZview Red Anti-HA Affinity Gel	Sigma Aldrich
F6886-10MG	Forskolin From Coleus Forskohlii	Sigma Aldrich
F5881-10ML	Freund's Adjunvant; complete	Sigma Aldrich
GG1-10X15ML	Glycerol gelatin	Sigma Aldrich
I8140	IgG from rabbit serum	Sigma Aldrich
I2149-1MG	Influenza Hemagglutinin (HA) Peptide	Sigma Aldrich
K1377-5G	Kanamycin sulfate from Streptomyces kanamyceticus	Sigma Aldrich
T5168-.2ML	Monoclonal Anti-Alpha-Tubulin antibody produced in mouse	Sigma Aldrich
A5441-.2ML	Monoclonal Anti-Beta-Actin antibody produced in mouse	Sigma Aldrich
F3165-1MG	Monoclonal ANTI-FLAG M2 antibody produced in mouse	Sigma Aldrich
P8340-5ML	Protease Inhibitor Cocktail	Sigma Aldrich
P7255-100MG	Puromycin dihydrochloride from Streptomyces alboniger	Sigma Aldrich
R7757-100ML	Red Blood Cell lysing Buffer Hybri-Max	Sigma Aldrich
L3771-1KG	Sodium dodecyl sulfate (SDS)	Sigma Aldrich
T6066-5KG	Trizma base	Sigma Aldrich
6020-04	Anti-Goat IgG (H+L), Fab (Rabbit)-Alkaline Phosphatase	Southern Biotech
1120-09	Anti-mouse IgD-PE (rat)	Southern Biotech
1031-04	Anti-mouse IgG (H+L), (Goat)-Alkaline Phosphatase	Southern Biotech
4050-04	Anti-Rabbit IgG (H+L), (Goat)-Alkaline Phosphatase	Southern Biotech
3050-08	Anti-Rat IgG (H+L), (Goat)-Biotin	Southern Biotech
1070-04	Goat anti-mouse IgG1-AP	Southern Biotech
135855	8 1/2 in. x 11 in. Copy Paper; 20 lb	Staples
486330	8 1/2 in. x 11 in. Nonstick Sheet Protectors	Staples
368095	8 1/2 in. x 11 in. Transparency Film	Staples
UNV10220	Binder Clips; 2 in. width	Staples
917917	Brother 1 in. TZ Series Tape Cartridge; black on white	Staples
917860	Brother 1/2 in. TZ series tape cartridge	Staples
917883	Brother 3/4 in. TZ series tape cartridge	Staples
478871	Double Pads; 3-Hole; Canary; Wide Ruled; 8 1/2 in. x 11 3/4 in.	Staples
HEWCE255A	HP 55A Black LaserJet Toner Cartridge (CE255A)	Staples
487908	Invisible Tape; Clear; 4/3 in. x 1296 in.	Staples
612884	Paper Mate Black Profile Ballpoint Pen	Staples
612885	Paper Mate Blue Bold Profile Ballpoint Pen	Staples
612886	Paper Mate Red Bold Profile Ballpoint Pen	Staples
GEP23504	Paper Towel; 9.25 in. x 10.25 in.	Staples
MMM-R-330-YW	Pop-Up Note Pad Refills	Staples
642736	Sanford Sharpie Permanent Markers, Ultra-Fine Point, Black Ink	Staples
477938	Sanford Sharpie Permanent Markers, Ultra-Fine Point, Blue	Staples
477937	Sanford Sharpie Permanent Markers, Ultra-Fine Point, Red Ink	Staples
NT LS160	Liquid Nitrogen	Tech Air
NT LX240	Liquid Nitrogen	Tech Air
1615-5500	1.5 mL Natural Microcentrifuge Tubes	USA Scientific
1402-1208	12-Tube Strips; 0.2 mL PCR Tubes with 12 strips	USA Scientific
1400-1208	Dome top 12-Cap Strips for 0.2 mL PCR 12-Tube Strips	USA Scientific
BA-2001	Anti-mouse IgG, rat adsorbed (Horse)-Biotin	Vector Laboratories
BA-1000	Anti-Rabbit IgG (Goat)-Biotin	Vector Laboratories
SP-2001	Avidin/ Biotin blocking Kit	Vector Laboratories
B-1075	Biotinylated Peanut Agglutinin (biotin-PNA)	Vector Laboratories
FL-1071	Fluorescein Peanut Agglutinin (FITC-PNA)	Vector Laboratories
SA-5004	Horseradish Peroxidase (HRP) Streptavidin Concentrate for IHC	Vector Laboratories
H-4000	ImmEdge Hydrophobic Barrier Pen	Vector Laboratories
MKB-2213	Mouse on Mouse (M.O.M.) Blocking Reagent	Vector Laboratories
SA-5004	Strepavidin-HRP, concentrate for IHC	Vector Laboratories
SA-5100	Streptavidin Alkaline Phosphatase conjugated	Vector Laboratories
56616-018	17 in. x 24 in. VWR Absorbent Bench underpads; blue diaper	VWR
60818-689	17 mm x 100 mm Culture Tubes with closures; 14 mL	VWR
500023-304	3 in. x 1 in. First Aid Only Adhesive Plastic Bandages	VWR
89097-990	Labeling Tape; assorted; 3/4 in.	VWR
33300-140	Mask	VWR
12001-870	Seakem lE Agarose	VWR
21453-315	Thermal Paper; K65HM-CE /KP65HM-CE High Density Paper; 110 mm x 20 m	VWR
14003-552	Wescodyne Plus	VWR
28297-990	Blotting Pad, 707	VWR Scientific
41101001	8 in. x 10 in. Autoradiographic Film (Blue Sensitive)	WorldWide Medical Products
MCA579	Anti-Human CD77 (rat)	AbD Serotec
MCA189F	Anti-Rat IgM heavy chain-FITC (mouse)	AbD Serotec
13928	Compact Reaction Columns	Affymetrix
13912	Filters for compact reaction columns (CRC Lower Filters)	Affymetrix
25-4317	Streptavidin PE/Cy7	Affymetrix eBioscience
50-5698	Anti-mouse/rat Ki-67-eFluor 660	Affymetrix eBioscience
50-9124	Anti-Human/mouse Phospho-Histone H3 (S28)-eFluor 660	Affymetrix eBioscience
46-0701	Anti-mouse CD70-PerCP/eFluor 710	Affymetrix eBioscience
46-9991	Anti-mouse CD184 (CXCR4)-PerCP/eFluor 710	Affymetrix eBioscience
48-4317	Steptavidin-eFluor 450	Affymetrix eBioscience
302108	MycoSensor PCR Assay Kit	Agilent Technologies
600410	PfuTurbo Cx Hotstart DNA Polymerase	Agilent Technologies
240207	StrataClone Blunt PCR Cloning Kit	Agilent Technologies
553271	Anti mouse CD43-PE	BD Biosciences
561520	Anti-Human and mouse BCL6	BD Biosciences
561525	Anti-Human Bcl6-Alexa Fluor 647	BD Biosciences
555373	Anti-Human CD10 Purified	BD Biosciences
555439	Anti-Human CD27 Purified	BD Biosciences
561522	Anti-mouse BCL6-PE	BD Biosciences
553312	Anti-mouse CD11b(Mac-1)-APC (rat)	BD Biosciences
553714	Anti-mouse CD138-PE	BD Biosciences
553785	Anti-mouse CD19-FITC	BD Biosciences
553818	Anti-mouse CD21/CD35-FITC	BD Biosciences
553139	Anti-mouse CD23-PE	BD Biosciences
553721	Anti-mouse CD40 (Hamster)	BD Biosciences
552366	Anti-mouse CD43 Purified	BD Biosciences
553093	Anti-mouse CD45R/B220-PercP	BD Biosciences
553051	Anti-mouse CD4-APC	BD Biosciences
553023	Anti-mouse CD5-PE	BD Biosciences
553032	Anti-mouse CD8a-PE	BD Biosciences
554258	Anti-mouse CD95-PE	BD Biosciences
550874	Anti-mouse IgG1-APC	BD Biosciences
550003	Anti-mouse IgK-FITC	BD Biosciences
550676	Anti-mouse IgM-APC	BD Biosciences
553408	Anti-mouse IgM-FITC	BD Biosciences
553885	Anti-rat IgM Purified	BD Biosciences
559156	Early B lineage FITC	BD Biosciences
552598	APC BrdU Flow Kit	BD Biosciences
556421	Annexin V-PE	BD Biosciences
555440	Anti-Human CD27-FITC	BD Biosciences
555458	Anti-Human CD38 (mouse)	BD Biosciences
555778	Anti-Human IgD-FITC (mouse)	BD Biosciences
347687	Anti-Human CD38-PE	BD Biosciences
553713	Anti-mouse CD138-Biotin	BD Biosciences
550676	Anti-mouse IgM-APC	BD Biosciences
553086	Anti-mouse CD45R/B220-Biotin	BD Biosciences
557653	Anti-mouse CD95 (Fas)-PE/Cy7 (hamster)	BD Pharmingen
553067	Anti-mouse CD3e-PerCP	BD Pharmingen
553025	Anti-mouse CD5-PerCP	BD Pharmingen
561525	Anti-Human/mouse BCL6-Alexa Fluor 647	BD Pharmingen
561529	Anti-mouse GL7-Alexa Fluor 647	BD Pharmingen
553441	Anti-mouse IgG1-Biotin	BD Pharmingen
553086	Anti-Human/mouse CD45R/B220-Biotin	BD Pharmingen
IM1430	Anti-Human CD58-PE	Beckman Coulter
582517	Red pH 4 Buffer	Beckman Coulter
566003	Green pH 7 buffer	Beckman Coulter
582525	Blue pH10 buffer	Beckman Coulter
344058	38.5 mL Centrifuge Tubes	Beckman Coulter
342412	5.1 mL Quick-Seal Centrifuge Tubes	Beckman Coulter
IM1281U	Anti-Human CD3-FITC	Beckman Coulter
IM1280	Anti-Human CD3 Purified	Beckman Coulter
1652088	Gene Pulser Cuvette 0.4 cm electrode	Bio Rad
161-0373	Precision Plus Standards All Blue	Bio Rad
500-0006	Bio-Rad Protein Assay Dye Reagent Concentrate	Bio Rad
1702506	Printer Paper for SmartSpec 3000	Bio Rad
103115	Anti-mouse CD45-APC/Cy7 (rat)	BioLegend
306513	Anti-Human CD184 (CXCR4)-PE/Cy7	BioLegend
306514	Anti-Human CD184 (CXCR4)-PE/Cy7	BioLegend
305303	Anti-Human CD83-Biotin	BioLegend
